acct_num,date,product_code,cc_cri,del_days,postal,balance,premium,auth_limit,tm_on_book_month
48,2013-10-31,10010,b,0,C2j1n1,3000,YES,5000,10
49,2014-03-31,10010,c,0,S2j1n1,45000,YES,5000,38
50,2013-09-30,10010,d,0,X2j1n1,45000,NO,1500,38
51,2014-05-31,10010,b,0,M5A1n1,45000,NO,1500,3
52,2014-01-31,10010,d,0,L2j1n1,1000,YES,7000,35
53,2014-06-30,10010,e,0,C2j1n1,2000,YES,5000,3
54,2014-05-31,10010,a,0,B2j1n1,2000,YES,1500,10
55,2014-02-28,10010,c,0,T2j1n1,1000,YES,7000,35
56,2014-01-31,10010,b,0,V2j1n1,3000,NO,7000,1
57,2014-09-30,10017,a,0,R2j1n1,3000,YES,7000,38
58,2014-05-31,10010,c,0,L2j1n1,1000,NO,7000,5
59,2014-05-31,10010,b,0,T2j1n1,45000,YES,1500,5
60,2014-08-31,10010,d,0,L2j1n1,1000,NO,7000,38
61,2014-01-31,10010,b,0,B2j1n1,2000,YES,7000,5
62,2014-08-31,10010,c,0,B2j1n1,1000,NO,5000,35
63,2014-03-31,10010,c,0,C2j1n1,45000,YES,1500,1
64,2014-08-31,10010,c,0,J2j1n1,45000,YES,5000,38
65,2013-10-31,10010,c,0,Y2j1n1,1000,YES,7000,10
66,2014-11-30,10010,c,0,X2j1n1,3000,NO,5000,35
67,2013-08-31,10010,c,0,R2j1n1,2000,YES,7000,35
68,2014-06-30,10010,a,0,B2j1n1,1000,YES,5000,38
69,2014-01-31,10010,c,0,B2j1n1,3000,YES,5000,35
70,2014-03-31,10010,a,0,V2j1n1,45000,YES,7000,38
71,2014-07-31,10017,d,0,K2j1n1,2000,NO,5000,3
72,2014-03-31,10010,c,0,T2j1n1,1000,NO,1500,5
73,2014-06-30,10010,a,0,C2j1n1,3000,NO,5000,1
74,2014-12-31,10010,c,0,A2j1n1,1000,NO,5000,35
75,2014-05-31,10010,a,0,C2j1n1,2000,NO,1500,38
76,2014-09-30,10010,b,0,X2j1n1,1000,YES,1500,1
77,2014-09-30,10010,a,0,A2j1n1,1000,NO,1500,5
78,2014-05-31,10010,e,0,R2j1n1,3000,NO,5000,35
79,2014-10-31,10010,b,0,C2j1n1,45000,NO,1500,3
80,2013-08-31,10010,a,0,E2j1n1,45000,NO,5000,35
81,2013-09-30,10010,b,0,X2j1n1,45000,YES,7000,38
82,2013-09-30,10010,c,0,X2j1n1,2000,NO,1500,38
83,2014-01-31,10010,c,0,M2j1n1,45000,NO,1500,3
84,2014-03-31,10010,a,0,A2j1n1,1000,NO,7000,5
85,2014-04-30,10010,d,40,A2j1n1,2000,YES,7000,35
86,2014-01-31,10010,b,0,L2j1n1,45000,NO,1500,35
87,2013-09-30,10010,c,0,M2j1n1,45000,YES,7000,35
88,2014-09-30,10010,c,0,B2j1n1,1000,YES,1500,3
89,2013-09-30,10010,e,0,L2j1n1,1000,YES,5000,5
90,2014-06-30,10017,b,0,H2j1n1,1000,NO,7000,35
91,2014-01-31,10010,d,0,S2j1n1,3000,YES,5000,35
92,2014-10-31,10010,c,0,J2j1n1,3000,NO,1500,35
93,2014-10-31,10017,e,40,H2j1n1,3000,YES,5000,1
94,2014-03-31,10017,e,0,E2j1n1,45000,NO,7000,3
95,2014-11-30,10010,c,0,C2j1n1,2000,YES,5000,3
96,2014-11-30,10010,b,0,R2j1n1,2000,YES,5000,10
97,2013-08-31,10010,e,0,M5A1n1,45000,YES,5000,35
98,2014-05-31,10010,c,0,H2j1n1,45000,YES,1500,5
99,2014-05-31,10010,d,0,H2j1n1,45000,YES,5000,3
100,2014-09-30,10010,b,0,S2j1n1,1000,NO,5000,35
101,2014-09-30,10010,c,0,E2j1n1,2000,YES,1500,35
102,2014-11-30,10010,c,0,M2j1n1,3000,NO,1500,35
103,2014-10-31,10010,c,0,R2j1n1,3000,NO,5000,38
104,2014-11-30,10010,a,0,N2j1n1,3000,NO,7000,1
105,2014-07-31,10010,a,0,C2j1n1,1000,YES,1500,35
106,2013-09-30,10017,a,0,E2j1n1,1000,YES,1500,3
107,2014-04-30,10010,e,0,J2j1n1,1000,NO,1500,3
108,2014-12-31,10010,b,0,K2j1n1,1000,NO,7000,5
109,2014-06-30,10010,b,0,J2j1n1,2000,NO,7000,1
110,2014-11-30,10010,c,0,C2j1n1,1000,YES,7000,10
111,2014-02-28,10010,e,0,A2j1n1,2000,YES,1500,10
112,2014-11-30,10010,c,0,K2j1n1,45000,NO,5000,5
113,2014-02-28,10010,a,0,M2j1n1,45000,YES,5000,10
114,2014-07-31,10010,a,0,P2j1n1,2000,YES,7000,1
115,2014-01-31,10010,c,0,A2j1n1,45000,NO,5000,10
116,2014-12-31,10010,b,0,V2j1n1,2000,YES,7000,10
117,2014-02-28,10010,a,0,L2j1n1,2000,YES,5000,35
118,2014-04-30,10010,d,0,V2j1n1,2000,YES,1500,10
119,2014-02-28,10010,d,0,P2j1n1,45000,NO,1500,3
120,2013-09-30,10010,d,0,N2j1n1,3000,NO,7000,35
121,2014-11-30,10010,c,0,B2j1n1,2000,NO,5000,38
122,2014-05-31,10010,a,0,N2j1n1,45000,NO,1500,10
123,2013-08-31,10010,c,0,K2j1n1,3000,NO,5000,3
124,2014-10-31,10010,b,0,M2j1n1,2000,YES,5000,35
125,2014-03-31,10010,a,0,R2j1n1,1000,NO,1500,3
126,2014-03-31,10017,c,0,B2j1n1,2000,YES,5000,38
127,2014-03-31,10010,c,0,T2j1n1,45000,NO,5000,35
128,2014-12-31,10010,c,0,X2j1n1,3000,YES,5000,5
129,2014-12-31,10010,a,0,M2j1n1,3000,NO,7000,1
130,2014-01-31,10010,a,0,N2j1n1,45000,YES,5000,10
131,2014-03-31,10010,c,0,M5A1n1,3000,YES,5000,5
132,2014-06-30,10010,c,0,M5B1n1,45000,YES,5000,3
133,2014-05-31,10010,a,0,P2j1n1,2000,NO,5000,1
134,2014-12-31,10010,b,0,R2j1n1,1000,YES,1500,1
135,2014-03-31,10010,a,0,P2j1n1,1000,NO,5000,10
136,2014-06-30,10010,c,0,N2j1n1,45000,NO,7000,35
137,2013-09-30,10010,d,0,G2j1n1,2000,NO,1500,5
138,2013-09-30,10010,b,0,E2j1n1,3000,YES,7000,38
139,2014-09-30,10010,a,0,N2j1n1,45000,YES,1500,3
140,2014-09-30,10010,c,0,J2j1n1,1000,NO,7000,3
141,2014-08-31,10010,b,0,G2j1n1,45000,YES,5000,1
142,2014-01-31,10010,b,0,C2j1n1,45000,NO,7000,10
143,2014-06-30,10010,d,0,T2j1n1,3000,YES,1500,5
144,2014-01-31,10010,a,40,Y2j1n1,2000,YES,7000,35
145,2014-03-31,10010,c,0,M2j1n1,45000,NO,1500,38
146,2014-07-31,10010,c,0,T2j1n1,45000,NO,7000,35
147,2014-12-31,10010,c,0,L2j1n1,45000,YES,7000,10
148,2014-08-31,10010,d,0,V2j1n1,2000,YES,7000,38
149,2014-05-31,10010,a,0,B2j1n1,45000,YES,1500,5
150,2014-03-31,10010,e,0,S2j1n1,1000,NO,1500,35
151,2014-09-30,10010,a,0,L2j1n1,3000,YES,7000,38
152,2013-09-30,10010,e,0,T2j1n1,1000,NO,7000,3
153,2014-10-31,10017,c,0,Y2j1n1,1000,NO,1500,35
154,2013-09-30,10010,e,0,G2j1n1,1000,YES,7000,38
155,2014-02-28,10010,c,0,B2j1n1,3000,NO,1500,35
156,2013-09-30,10010,e,0,R2j1n1,1000,NO,7000,38
157,2014-09-30,10010,c,0,P2j1n1,45000,NO,5000,10
158,2014-02-28,10010,e,0,S2j1n1,2000,YES,7000,38
159,2014-12-31,10010,a,0,H2j1n1,1000,NO,5000,35
160,2014-02-28,10010,a,0,K2j1n1,2000,NO,5000,35
161,2014-11-30,10010,b,0,K2j1n1,3000,YES,5000,1
162,2014-10-31,10017,a,40,Y2j1n1,1000,NO,7000,5
163,2013-09-30,10010,c,40,X2j1n1,2000,YES,1500,38
164,2014-03-31,10010,c,0,Y2j1n1,1000,NO,5000,38
165,2014-10-31,10010,e,0,H2j1n1,3000,NO,7000,3
166,2014-10-31,10010,b,0,P2j1n1,1000,NO,7000,38
167,2014-03-31,10010,c,0,M5A1n1,3000,YES,1500,5
168,2014-02-28,10010,c,0,J2j1n1,3000,NO,5000,35
169,2014-01-31,10010,b,0,K2j1n1,2000,NO,5000,5
170,2014-01-31,10010,b,0,H2j1n1,3000,NO,1500,3
171,2014-08-31,10010,e,0,H2j1n1,45000,YES,1500,5
172,2014-01-31,10010,c,0,C2j1n1,2000,YES,1500,3
173,2014-06-30,10010,a,0,P2j1n1,1000,YES,5000,3
174,2014-09-30,10010,c,0,E2j1n1,45000,YES,1500,10
175,2014-02-28,10010,d,0,S2j1n1,45000,NO,1500,1
176,2014-05-31,10010,a,0,V2j1n1,1000,NO,1500,35
177,2014-12-31,10010,a,0,P2j1n1,3000,NO,1500,3
178,2014-09-30,10010,a,0,K2j1n1,45000,YES,5000,38
179,2014-04-30,10010,c,0,L2j1n1,3000,YES,1500,3
180,2013-09-30,10010,d,0,V2j1n1,2000,YES,1500,5
181,2013-10-31,10010,d,0,M2j1n1,3000,YES,7000,38
182,2014-05-31,10010,c,0,S2j1n1,1000,NO,5000,3
183,2014-12-31,10010,a,0,L2j1n1,3000,NO,5000,10
184,2014-01-31,10010,c,0,B2j1n1,3000,YES,5000,5
185,2014-08-31,10010,d,0,E2j1n1,2000,NO,1500,38
186,2014-09-30,10010,e,0,B2j1n1,2000,YES,5000,1
187,2014-08-31,10010,c,0,X2j1n1,45000,NO,7000,5
188,2013-10-31,10010,c,0,G2j1n1,3000,YES,5000,38
189,2014-08-31,10010,c,0,C2j1n1,45000,NO,5000,35
190,2014-04-30,10010,c,0,P2j1n1,3000,YES,1500,5
191,2014-04-30,10010,a,0,M5B1n1,45000,YES,1500,38
192,2014-09-30,10017,c,0,Y2j1n1,2000,YES,5000,38
193,2014-09-30,10010,d,0,Y2j1n1,2000,YES,5000,1
194,2014-03-31,10010,c,0,C2j1n1,45000,YES,1500,3
195,2014-10-31,10010,e,0,J2j1n1,45000,YES,1500,38
196,2014-03-31,10010,d,0,T2j1n1,2000,YES,7000,5
197,2013-10-31,10010,a,0,M5A1n1,1000,YES,7000,10
198,2014-04-30,10010,e,0,E2j1n1,45000,YES,1500,3
199,2013-09-30,10010,e,0,L2j1n1,3000,NO,5000,35
200,2014-01-31,10010,e,0,M5A1n1,3000,NO,7000,10
201,2014-03-31,10010,b,0,B2j1n1,3000,YES,1500,3
202,2013-09-30,10010,a,0,S2j1n1,1000,YES,7000,10
203,2014-07-31,10010,c,0,E2j1n1,45000,YES,7000,1
204,2014-06-30,10010,c,0,L2j1n1,1000,YES,1500,35
205,2014-09-30,10010,c,0,M2j1n1,1000,YES,1500,38
206,2014-09-30,10010,b,0,Y2j1n1,3000,NO,7000,38
207,2014-01-31,10010,c,0,M2j1n1,2000,NO,7000,10
208,2013-09-30,10010,b,40,L2j1n1,2000,NO,1500,5
209,2014-05-31,10010,c,0,J2j1n1,2000,YES,5000,10
210,2014-11-30,10010,b,0,N2j1n1,2000,YES,1500,10
211,2013-10-31,10010,a,0,M2j1n1,2000,YES,7000,3
212,2014-10-31,10010,b,0,M2j1n1,3000,YES,7000,1
213,2014-04-30,10010,b,0,N2j1n1,1000,YES,5000,38
214,2014-04-30,10010,c,0,E2j1n1,1000,NO,1500,3
215,2014-11-30,10010,b,0,S2j1n1,45000,NO,5000,35
216,2013-08-31,10010,c,0,P2j1n1,45000,NO,1500,3
217,2013-09-30,10010,e,0,V2j1n1,1000,NO,1500,10
218,2014-10-31,10017,c,0,T2j1n1,3000,NO,7000,1
219,2014-11-30,10010,a,0,E2j1n1,45000,YES,5000,1
220,2013-08-31,10010,b,0,M5A1n1,45000,NO,1500,3
221,2013-08-31,10010,d,0,A2j1n1,2000,NO,7000,1
222,2014-06-30,10017,a,0,J2j1n1,3000,NO,5000,3
223,2013-08-31,10017,e,0,X2j1n1,2000,YES,1500,3
224,2014-04-30,10010,b,0,N2j1n1,45000,YES,1500,1
225,2014-11-30,10010,c,0,R2j1n1,45000,YES,1500,10
226,2013-10-31,10010,a,0,H2j1n1,45000,YES,5000,5
227,2013-10-31,10017,b,0,H2j1n1,3000,NO,5000,3
228,2014-05-31,10010,a,0,P2j1n1,2000,NO,1500,38
229,2014-08-31,10010,c,0,M5A1n1,2000,YES,7000,3
230,2014-06-30,10010,c,0,M2j1n1,45000,YES,7000,1
231,2014-07-31,10017,a,0,K2j1n1,45000,YES,7000,5
232,2014-03-31,10010,c,0,H2j1n1,2000,NO,1500,10
233,2013-10-31,10017,c,0,B2j1n1,3000,NO,1500,38
234,2014-08-31,10010,c,0,P2j1n1,1000,YES,1500,5
235,2014-12-31,10010,a,0,M2j1n1,1000,NO,5000,5
236,2013-10-31,10010,d,0,Y2j1n1,45000,NO,1500,1
237,2014-01-31,10010,c,0,B2j1n1,1000,YES,7000,35
238,2014-04-30,10010,c,0,V2j1n1,3000,YES,7000,3
239,2014-06-30,10010,e,0,S2j1n1,2000,YES,1500,38
240,2014-02-28,10010,b,40,S2j1n1,3000,YES,7000,3
241,2014-10-31,10010,b,0,R2j1n1,3000,NO,7000,38
242,2014-10-31,10010,c,0,T2j1n1,2000,NO,1500,38
243,2013-10-31,10017,b,0,E2j1n1,3000,YES,5000,5
244,2013-08-31,10010,b,0,V2j1n1,45000,NO,1500,3
245,2014-07-31,10017,d,0,M5A1n1,1000,YES,7000,35
246,2014-01-31,10010,b,0,B2j1n1,3000,NO,5000,3
247,2014-03-31,10010,c,0,E2j1n1,1000,YES,5000,10
248,2013-08-31,10010,e,0,S2j1n1,2000,NO,7000,35
249,2013-09-30,10010,c,0,N2j1n1,45000,YES,1500,38
250,2013-09-30,10010,c,0,G2j1n1,45000,NO,7000,38
251,2014-12-31,10010,c,0,T2j1n1,2000,YES,1500,35
252,2014-07-31,10010,a,0,A2j1n1,2000,NO,7000,3
253,2014-03-31,10017,c,0,M2j1n1,2000,NO,5000,1
254,2014-12-31,10010,e,0,P2j1n1,45000,YES,1500,38
255,2014-07-31,10010,d,0,V2j1n1,45000,YES,7000,38
256,2014-06-30,10010,b,0,V2j1n1,2000,YES,7000,1
257,2014-03-31,10010,c,0,M5A1n1,3000,YES,5000,38
258,2014-12-31,10010,a,0,H2j1n1,1000,NO,7000,3
259,2014-01-31,10010,a,0,R2j1n1,45000,NO,5000,1
260,2014-07-31,10010,c,0,S2j1n1,45000,NO,5000,35
261,2014-07-31,10010,a,0,J2j1n1,2000,NO,7000,5
262,2014-11-30,10010,c,0,M2j1n1,1000,YES,5000,3
263,2014-06-30,10010,e,0,H2j1n1,1000,NO,1500,5
264,2014-05-31,10010,c,0,P2j1n1,45000,YES,1500,35
265,2014-07-31,10010,a,0,J2j1n1,3000,YES,1500,5
266,2014-08-31,10010,b,0,H2j1n1,45000,YES,1500,3
267,2014-12-31,10010,c,0,L2j1n1,1000,NO,7000,38
268,2014-03-31,10010,a,0,H2j1n1,3000,YES,7000,5
269,2014-07-31,10010,c,0,B2j1n1,1000,NO,5000,35
270,2014-07-31,10010,b,0,C2j1n1,1000,NO,5000,38
271,2014-03-31,10010,a,0,C2j1n1,1000,NO,1500,38
272,2014-04-30,10017,b,0,M5B1n1,3000,YES,5000,3
273,2013-09-30,10010,b,0,M2j1n1,1000,NO,1500,1
274,2013-10-31,10010,c,0,B2j1n1,3000,YES,1500,10
275,2014-05-31,10010,b,0,B2j1n1,1000,NO,1500,3
276,2013-10-31,10017,b,0,S2j1n1,3000,YES,7000,35
277,2013-08-31,10010,c,0,P2j1n1,3000,YES,1500,10
278,2014-02-28,10017,c,0,K2j1n1,3000,YES,7000,38
279,2014-10-31,10010,c,0,X2j1n1,1000,NO,7000,5
280,2014-08-31,10010,c,0,L2j1n1,2000,YES,1500,10
281,2014-08-31,10010,c,0,V2j1n1,45000,NO,5000,1
282,2014-12-31,10010,b,0,M2j1n1,45000,YES,5000,10
283,2014-03-31,10017,a,0,H2j1n1,2000,YES,7000,38
284,2014-07-31,10017,a,0,V2j1n1,45000,NO,7000,35
285,2014-09-30,10010,c,0,S2j1n1,1000,NO,1500,1
286,2013-08-31,10010,c,0,S2j1n1,1000,NO,1500,35
287,2014-12-31,10010,c,40,K2j1n1,2000,YES,7000,1
288,2014-09-30,10010,a,0,T2j1n1,3000,NO,1500,35
289,2014-02-28,10010,d,40,N2j1n1,45000,NO,7000,5
290,2014-10-31,10010,a,0,E2j1n1,1000,NO,5000,5
291,2014-04-30,10010,e,0,J2j1n1,2000,YES,5000,35
292,2014-04-30,10010,c,0,B2j1n1,3000,YES,5000,10
293,2014-04-30,10010,e,0,P2j1n1,3000,NO,1500,5
294,2013-10-31,10010,c,0,Y2j1n1,2000,NO,7000,38
295,2014-03-31,10010,e,0,M5B1n1,3000,YES,5000,1
296,2014-01-31,10010,d,0,Y2j1n1,45000,YES,7000,38
297,2014-08-31,10010,b,0,M5A1n1,1000,YES,7000,38
298,2014-05-31,10017,c,0,T2j1n1,3000,YES,5000,3
299,2013-08-31,10010,c,0,M2j1n1,1000,YES,1500,5
300,2014-06-30,10010,a,0,S2j1n1,3000,NO,5000,10
301,2014-11-30,10010,c,0,Y2j1n1,45000,YES,1500,3
302,2014-11-30,10010,d,0,N2j1n1,1000,YES,5000,1
303,2014-05-31,10010,c,0,C2j1n1,2000,YES,5000,5
304,2014-06-30,10010,c,0,M2j1n1,3000,NO,1500,3
305,2013-08-31,10010,c,0,C2j1n1,1000,NO,5000,1
306,2014-04-30,10010,c,0,B2j1n1,2000,YES,5000,5
307,2014-02-28,10010,c,0,K2j1n1,1000,NO,7000,5
308,2014-01-31,10010,c,0,K2j1n1,3000,YES,1500,1
309,2014-02-28,10010,d,0,M2j1n1,3000,NO,5000,1
310,2014-05-31,10010,e,0,M5B1n1,1000,YES,7000,10
311,2014-10-31,10010,c,0,C2j1n1,2000,NO,5000,10
312,2014-08-31,10010,d,0,H2j1n1,2000,YES,7000,5
313,2014-01-31,10010,c,0,M5A1n1,3000,YES,7000,10
314,2014-10-31,10010,c,0,G2j1n1,3000,YES,1500,3
315,2014-12-31,10010,a,0,P2j1n1,45000,NO,7000,5
316,2013-09-30,10010,a,0,X2j1n1,1000,NO,1500,5
317,2014-10-31,10017,b,0,K2j1n1,45000,NO,7000,38
318,2014-08-31,10010,c,0,Y2j1n1,1000,NO,1500,10
319,2014-04-30,10010,d,0,H2j1n1,2000,NO,7000,35
320,2014-08-31,10010,a,0,X2j1n1,45000,NO,5000,3
321,2014-01-31,10010,b,0,P2j1n1,3000,NO,7000,10
322,2014-07-31,10010,b,0,M5B1n1,3000,YES,5000,35
323,2014-08-31,10010,d,0,T2j1n1,2000,NO,7000,3
324,2014-06-30,10010,e,0,E2j1n1,2000,NO,1500,35
325,2013-09-30,10010,d,0,M2j1n1,2000,YES,7000,5
326,2014-07-31,10010,b,0,R2j1n1,3000,NO,7000,1
327,2014-03-31,10010,d,40,A2j1n1,45000,NO,5000,1
328,2014-08-31,10010,c,0,G2j1n1,45000,NO,1500,35
329,2014-05-31,10010,a,0,G2j1n1,45000,YES,1500,38
330,2014-12-31,10010,c,0,M2j1n1,1000,YES,1500,1
331,2013-10-31,10010,a,0,T2j1n1,1000,YES,1500,3
332,2014-06-30,10010,d,0,C2j1n1,1000,NO,5000,3
333,2014-12-31,10010,c,0,L2j1n1,2000,NO,5000,38
334,2013-08-31,10010,d,0,T2j1n1,45000,YES,7000,38
335,2013-08-31,10010,b,0,K2j1n1,1000,YES,5000,38
336,2014-04-30,10010,c,0,H2j1n1,1000,YES,1500,1
337,2013-09-30,10010,d,0,K2j1n1,1000,NO,5000,1
338,2014-08-31,10010,c,0,K2j1n1,3000,YES,1500,10
339,2013-08-31,10010,c,0,E2j1n1,3000,NO,7000,1
340,2014-11-30,10010,c,0,V2j1n1,45000,NO,5000,1
341,2013-10-31,10010,c,0,J2j1n1,3000,YES,1500,3
342,2014-10-31,10010,c,0,V2j1n1,3000,NO,5000,35
343,2014-11-30,10010,b,0,E2j1n1,45000,NO,7000,1
344,2014-10-31,10010,b,0,C2j1n1,1000,NO,1500,38
345,2014-01-31,10017,d,0,G2j1n1,2000,YES,5000,3
346,2014-12-31,10010,c,0,K2j1n1,45000,YES,7000,10
347,2014-02-28,10010,c,95,N2j1n1,2000,YES,5000,10
348,2014-08-31,10010,a,0,H2j1n1,2000,NO,1500,10
349,2014-02-28,10010,a,0,M2j1n1,2000,YES,5000,38
350,2014-07-31,10010,c,0,X2j1n1,2000,NO,1500,3
351,2014-01-31,10010,d,0,C2j1n1,1000,NO,1500,3
352,2013-08-31,10010,a,0,B2j1n1,2000,NO,5000,35
353,2014-01-31,10017,c,0,N2j1n1,1000,YES,7000,10
354,2014-07-31,10010,c,0,Y2j1n1,1000,YES,1500,10
355,2014-04-30,10010,c,0,J2j1n1,2000,NO,5000,3
356,2014-02-28,10010,c,0,M2j1n1,1000,YES,7000,10
357,2014-02-28,10010,b,0,X2j1n1,2000,YES,5000,35
358,2013-09-30,10010,c,0,M5B1n1,1000,YES,5000,10
359,2014-04-30,10010,b,0,M5A1n1,45000,NO,1500,1
360,2014-02-28,10010,d,0,R2j1n1,45000,NO,5000,35
361,2014-09-30,10017,c,0,C2j1n1,3000,YES,1500,3
362,2014-07-31,10010,e,0,E2j1n1,45000,YES,7000,38
363,2014-08-31,10010,a,0,B2j1n1,45000,NO,7000,10
364,2014-04-30,10010,a,0,A2j1n1,2000,YES,1500,35
365,2014-10-31,10010,c,0,T2j1n1,45000,YES,7000,38
366,2014-06-30,10010,c,0,V2j1n1,3000,NO,1500,3
367,2013-10-31,10010,c,0,R2j1n1,3000,NO,5000,5
368,2014-04-30,10010,c,0,L2j1n1,1000,YES,5000,3
369,2014-03-31,10010,d,0,R2j1n1,45000,NO,1500,1
370,2013-09-30,10010,a,0,M5B1n1,45000,YES,5000,3
371,2014-08-31,10010,a,0,G2j1n1,45000,NO,5000,38
372,2014-09-30,10010,c,0,N2j1n1,2000,NO,7000,3
373,2014-06-30,10010,c,0,B2j1n1,1000,YES,5000,10
374,2013-08-31,10010,c,0,L2j1n1,3000,NO,1500,10
375,2014-08-31,10010,c,0,M2j1n1,45000,NO,5000,10
376,2014-06-30,10010,c,0,M2j1n1,45000,YES,7000,35
377,2014-07-31,10010,e,0,B2j1n1,3000,YES,7000,5
378,2014-01-31,10010,c,0,Y2j1n1,1000,YES,1500,1
379,2013-09-30,10017,c,0,K2j1n1,3000,YES,1500,3
380,2014-03-31,10010,a,0,M5A1n1,3000,NO,1500,1
381,2014-06-30,10010,a,0,P2j1n1,3000,NO,7000,38
382,2013-09-30,10010,a,0,V2j1n1,45000,NO,7000,1
383,2013-08-31,10010,a,0,P2j1n1,3000,YES,1500,35
384,2014-06-30,10010,c,0,J2j1n1,1000,YES,1500,35
385,2014-02-28,10010,a,0,M5A1n1,45000,YES,5000,1
386,2014-10-31,10010,c,0,G2j1n1,45000,YES,5000,38
387,2013-08-31,10010,a,0,A2j1n1,45000,YES,5000,1
388,2014-01-31,10010,a,0,V2j1n1,3000,NO,5000,10
389,2014-08-31,10010,a,0,H2j1n1,1000,NO,5000,3
390,2014-11-30,10010,c,0,H2j1n1,3000,NO,7000,35
391,2013-09-30,10010,c,0,S2j1n1,3000,NO,7000,10
392,2014-03-31,10010,a,0,B2j1n1,3000,YES,7000,10
393,2013-08-31,10010,e,0,C2j1n1,2000,YES,5000,38
394,2014-05-31,10010,c,0,P2j1n1,3000,YES,1500,3
395,2014-12-31,10010,c,0,N2j1n1,2000,YES,7000,38
396,2014-08-31,10010,c,0,X2j1n1,45000,NO,1500,35
397,2014-11-30,10010,a,0,N2j1n1,45000,NO,1500,38
398,2014-08-31,10010,c,0,M5B1n1,2000,YES,1500,35
399,2014-03-31,10010,c,0,M2j1n1,45000,YES,7000,38
400,2013-09-30,10010,a,0,R2j1n1,1000,YES,5000,35
401,2014-09-30,10017,b,0,Y2j1n1,1000,NO,7000,35
402,2014-06-30,10010,c,0,C2j1n1,45000,YES,1500,1
403,2014-07-31,10010,a,0,X2j1n1,2000,YES,1500,10
404,2014-10-31,10010,c,0,Y2j1n1,3000,YES,5000,38
405,2013-08-31,10010,c,0,Y2j1n1,2000,YES,5000,3
406,2014-07-31,10010,c,0,G2j1n1,3000,NO,5000,5
407,2014-03-31,10010,c,0,J2j1n1,3000,NO,5000,10
408,2014-04-30,10010,d,0,M5B1n1,3000,YES,7000,35
